Serial Number,Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating
2381,Meri Majboori,Hindi,None,1 h 42 min,2005,NR
2382,Gurkha,Tamil,4.9,2 h 21 min,2019,All
2383,Maa Nanna Chiranjeevi,Telugu,5.4,1 h 52 min,2010,NR
2384,Zakir Khan: Kaksha Gyarvi,Hindi,8.3,1 h 14 min,2018,18+
2385,The Gruffalo’s Child,English,None,26min,2011,All
2386,Khubsoorat,Hindi,7.6,2h,1980,All
2387,Cloudy with a Chance of Meatballs,Hindi,6.9,1 h 29 min,2009,7+
2388,Mutton Biryani,Bengali,None,6min,2020,13+
2389,Blood Diamond,English,8,2 h 23 min,2006,18+
2390,Violin,Malayalam,None,2 h 10 min,2011,All
2391,Chotoder Chobi,Bengali,7.8,1 h 48 min,2017,13+
2392,Aruvadai Naal,Tamil,6.6,2 h 18 min,1986,NR
2393,Requiem For A Dream,English,8.3,1 h 41 min,2000,18+
2394,Marikannu Horimyage,Kannada,None,2 h 13 min,1998,NR
2395,Annan Thambi,Malayalam,5.7,2 h 15 min,2008,NR
2396,Lingaa,Hindi,5.6,2 h 28 min,2014,NR
2397,Lajja,Hindi,6.7,3 h 22 min,2001,NR
2398,Uttarayan,Bengali,7.2,2 h 15 min,2019,13+
2399,Farewell Amor,English,6.9,1 h 57 min,2020,NR
2400,Pudhu Pudhu Ragangal,Tamil,None,2 h 30 min,1990,NR
2401,Bamma Maata Bangaru Baata,Telugu,7.2,2 h 33 min,1989,All
2402,Darbar (Tamil),Tamil,6.1,2 h 38 min,2020,13+
2403,Nenjirukkum Varai,Tamil,7.7,2 h 29 min,2006,All
2404,Anandache Jhaad,Marathi,4,2 h 30 mins,2006,All
2405,The Florida Project,English,7.6,1 h 51 min,2017,18+
2406,Copycat,English,6.6,2 h 3 min,1995,18+
2407,Geostorm,English,5.3,1 h 49 min,2017,13+
2408,Bharaate,Kannada,4.9,2 h 44 min,2019,13+
2409,Universal Soldier: Day of Reckoning,English,5,1 h 45 min,2012,18+
2410,Aarada Gaaya,Kannada,None,2 h 17 min,1980,NR
2411,The Condemned 2,English,4.2,1 h 30 min,2015,18+
2412,Sound of Silence,Hindi,7.2,1 h 27 min,2017,All
2413,American Pie Presents: The Naked Mile (Unrated),English,5.2,1 h 41 min,2006,18+
2414,Nokkethadhoorathu Kannum Nattu,Malayalam,7.7,2 h 5 min,1984,NR
2415,Kokkarakko,Malayalam,4.9,2 h 29 min,1995,NR
2416,Besh Korechi Prem Korechi,Bengali,4.8,2 h 23 min,2015,All
2417,Looper,Marathi,7.4,1 h 54 mins,2012,18+
2418,Adhe Kangal,Tamil,7.3,1 h 59 min,2017,All
2419,Nadigaiyar Thilagam (Tamil),Tamil,8.5,2 h 47 min,2018,All
2420,Jodi Love Dile Na Prane,Bengali,7.3,1 h 55 min,2017,13+
2421,Annaya Attayachar,Bengali,5.2,2 h 39 min,2004,All
2422,Favourite Nursery Rhymes,English,None,33min,2014,All
2423,Apocalypto,English,7.8,2 h 12 min,2006,18+
2424,Aav Taru Kari Nakhu,Gujarati,6.4,2 h 6 min,2017,NR
2425,Middle Class Madhavan,Tamil,6.6,2 h 34 min,2000,13+
2426,Ajinkya,Marathi,3.7,1 h 45 mins,2013,All
2427,Albela,Hindi,3.7,2 h 19 min,2001,All
2428,C.I.D.,Hindi,7.4,2 h 18 min,None,All
2429,Kargil,Tamil,7.3,1 h 33 min,2018,All
2430,Abhijan,Bengali,8,2 h 8 min,2017,13+
2431,Nimantran,Bengali,8.2,2 h 2 min,2018,13+
2432,Superman: Red Son,English,6.4,1 h 24 min,2020,13+
2433,Dharmathin Thalaivan,Tamil,7,2 h 15 min,1988,NR
2434,Dinoshark,Marathi,3.1,1 h 26 mins,2010,16+
2435,Elvis Home Movies,English,None,46min,2020,13+
2436,Darmiyaan: In Between,Hindi,7.3,2 h 8 min,1997,18+
2437,The Crude Poker Game - A Geopolitical Investigation,English,None,54min,2019,13+
2438,Hettavaru,Kannada,None,2 h 21 min,1995,NR
2439,Ke Tumi,Bengali,None,2 h 8 min,2008,NR
2440,My Super Ex-Girlfriend,English,5.1,1 h 36 min,2006,16+
2441,Zindagi Aur Maut,Hindi,6,1 h 59 min,2002,NR
2442,Bachelor Party,Malayalam,5.1,1 h 59 min,2012,13+
2443,Kambakkht Ishq,Hindi,3.9,2 h 14 min,2009,NR
2444,Black and Blue,Telugu,6.4,1 h 47 min,2019,18+
2445,Maqbool,Hindi,8.1,2h,2004,All
2446,Muniyana Madari,Kannada,7.5,2 h 21 min,1981,NR
2447,Dilli Dreams,Hindi,6,9min,2012,All
2448,It Follows,English,6.8,1 h 39 min,2015,18+
2449,Stalin,Telugu,7.1,2 h 48 min,2006,13+
2450,Lapandav,Marathi,8.3,2 h 25 mins,1993,All
2451,Richie Rich (1994),English,5.4,1 h 34 min,1994,All
2452,Jeevan Mrityu,Hindi,7,2 h 38 min,1970,NR
2453,Buro Sadhu,Bengali,7.1,1 h 32 min,2019,13+
2454,Manchukurisevelalo,Telugu,7.1,2 h 8 min,2018,All
2455,Bad Ass,English,5.5,1 h 30 min,2012,13+
2456,Missing,Hindi,5.8,2h,2018,13+
2457,Daag,Hindi,7,2 h 14 min,None,NR
2458,The Vast of Night,English,6.7,1 h 30 min,2020,13+
2459,Desi kattey,Hindi,None,2 h 18 min,2014,13+
2460,Kantheredu Nodu,Kannada,8.1,2 h 15 min,1961,NR
2461,The Legend of Tarzan,Tamil,6.2,1 h 49 min,2016,13+
2462,Men in Black,English,7.3,1 h 37 min,1997,13+
2463,The Raid: Redemption,Tamil,7.6,1 h 37 min,2012,18+
2464,Lights Out,Telugu,6.3,1 h 20 min,2016,18+
2465,Little Women,English,7.8,2 h 14 min,2019,All
2466,Broken City,English,6.2,1 h 49 min,2013,18+
2467,I Kill Giants,English,6.2,1 h 42 min,2018,16+
2468,Saw 4,English,5.9,1 h 32 min,2007,18+
2469,"Sunchaser, The",English,None,2 h 2 min,1996,18+
2470,Birth of the Dragon,Telugu,5.5,1 h 31 min,2017,13+
2471,Jalam,Malayalam,6.5,1 h 44 min,2016,All
2472,American Psycho 2,English,3.8,1 h 28 min,2002,18+
2473,Senjittale En Kadhala,Tamil,7.4,1 h 40 min,2017,All
2474,Sagara Sangamam,Telugu,8.8,2 h 49 min,1983,All
2475,Kashmir Daliy,Hindi,None,2 h 11 min,2018,NR
2476,Mr. & Mrs. Smith,English,6.5,1 h 59 min,2005,16+
2477,Fanney Khan,Hindi,4.5,2 h 9 min,2018,13+
2478,Amar Bodyguard,Bengali,None,2 h 12 min,2018,13+
2479,ASUR,Bengali,6.9,2 h 16 min,2020,All
2480,Junior Senior,Tamil,4.1,2 h 17 min,2002,All
2481,The Smurfs 2,Telugu,5.3,1 h 44 min,2013,7+
2482,Ankahee,Hindi,4.1,2 h 31 min,2006,All
2483,The Man in the Iron Mask,English,6.5,1 h 51 min,None,13+
2484,Saaransh,Hindi,8.2,2 h 17 min,1984,13+
2485,Rowdy Fellow,Telugu,6.6,2 h 17 min,2014,13+
2486,Sthaniya Sambaad,Bengali,7.8,1 h 45 min,2020,13+
2487,Parasakthi,Tamil,7.4,2 h 50 min,1952,All
2488,Duniya,Hindi,7.1,2 h 49 min,1984,All
2489,What If,English,6.8,1 h 37 min,2014,16+
2490,Nagin Kanya,Bengali,None,2 h 11 min,2019,13+
2491,Lolaab: A Valley in the Himalayas,English,None,57min,2019,13+
2492,Thayigobba Tharle Maga,Kannada,None,2 h 14 min,1989,NR
2493,Megasnake,English,None,1 h 27 min,2007,18+
2494,April 1 Vidudala,Telugu,7.7,2 h 24 min,1991,NR
2495,Pizza Shop: An Italian-American Dream,English,None,57min,2020,13+
2496,Universal Soldier: Regeneration,Telugu,5.2,1 h 36 min,2010,18+
2497,Police Police,Tamil,5.5,1 h 59 min,2010,NR
2498,Do Knot Disturb,Hindi,3.6,2 h 5 min,2009,13+
2499,Apne,Hindi,6,2 h 46 min,2007,All
2500,The Last Airbender,Telugu,4,1 h 43 min,2010,All
2501,"sex, lies and videotape",English,None,1 h 39 min,1989,18+
2502,Villain,Bengali,4.9,2 h 12 min,2018,All
2503,Vantas,Marathi,None,2 h 9 mins,2018,NR
2504,Chandralekha,Malayalam,7.5,2 h 52 min,1997,NR
2505,Shutter Island,English,8.2,2 h 18 min,2010,18+
2506,Following Seas,English,8.3,56min,2019,13+
2507,Rajwade and Sons,Marathi,7,2 h 4 mins,2015,13+
2508,Nirjan Saikate,Bengali,7.3,1 h 59 min,2018,13+
2509,Bloodshot,Telugu,5.7,1 h 49 min,2020,13+
2510,Pyaar Impossible,Hindi,4.6,2 h 20 min,2010,All
2511,Akrandhana,Telugu,None,2 h 10 min,1986,NR
2512,Dillagi,Hindi,5.3,2 h 26 min,None,NR
2513,Habba,Kannada,None,2 h 21 min,1999,NR
2514,Khanna & Iyer,Hindi,5.2,1 h 42 min,2007,13+
2515,A Year in Burgundy,English,7,1 h 28 min,2013,13+
2516,Jantar Mantar,Gujarati,None,2 h 1 min,2009,All
2517,All Is Lost,English,6.9,1 h 41 min,2013,16+
2518,Kamboji,Malayalam,None,2 h 17 min,2017,All
2519,Shareek,Punjabi,7.3,2 h 13 mins,2015,NR
2520,Desi Boyz,Hindi,5.7,2 h 1 min,2011,NR
2521,Passport,Hindi,6.1,2 h 15 min,None,NR
2522,Banjo,Hindi,4.9,2 h 15 min,2016,NR
2523,King Of Bollywood,Hindi,None,1 h 35 min,2004,All
2524,Hijack,Hindi,3.7,1 h 57 min,2008,NR
2525,Rathi Nirvedam,Telugu,5,1 h 54 min,1998,13+
2526,Kismat,Hindi,3.6,2 h 29 min,1995,13+
2527,American Ultra,English,6.1,1 h 35 min,2015,18+
2528,Asche Aabar Shabor,Bengali,None,2 h 6 min,2019,13+
2529,Thirunelliyile Penkutty,Malayalam,None,1 h 18 min,2002,NR
2530,Kavi Kalidas,Hindi,7.1,2 h 19 min,None,NR
2531,Ettupatti Rasa,Tamil,6,2 h 23 min,1997,All
2532,RWANDA-17,English,None,1 h 3 min,2020,13+
2533,Yoddha,Malayalam,8.4,2 h 22 min,1992,All
2534,Maya,Bengali,None,26min,2018,13+
2535,Law Abiding Citizen,Telugu,7.4,1 h 44 min,2009,18+
2536,Saare Jahaan Se Mehnga,Hindi,7.1,1 h 46 min,2013,All
2537,Srivalli,Telugu,4.6,1 h 47 min,2017,13+
2538,The Adventures of Tintin,English,7.3,1 h 46 min,2011,7+
2539,Let Her Cry,English,6.2,1 h 34 min,2015,NR
2540,Dharma,Tamil,7,2 h 30 min,1998,18+
2541,Trisulam,Telugu,6.3,2 h 19 min,1982,NR
2542,Alaigal Oyvathilai,Tamil,6.7,2 h 19 min,1981,All
2543,Money (Telugu),Telugu,None,1 h 53 min,1993,All
2544,Underworld Awakening,English,6.4,1 h 28 min,2012,18+
2545,Manush Amanush,Bengali,None,2 h 53 min,2019,13+
2546,Aparichithan,Malayalam,5.1,2 h 3 min,2004,13+
2547,DNA,Marathi,8.3,2 h 6 mins,2019,All
2548,Texas Chainsaw Massacre,English,4.8,1 h 28 min,2013,18+
2549,Train To Busan,English,7.6,1 h 53 min,2016,18+
2550,Anaganaga Oka Roju,Telugu,7.1,2 h 4 min,1997,All
2551,Alien Convergence,English,2.3,1 h 27 min,2017,13+
2552,Raghavan,Telugu,4.9,2 h 47 min,2006,13+
2553,Naaniruvude Ninagagi,Kannada,None,2 h 9 min,1979,NR
2554,Looper,Hindi,7.4,1 h 54 min,2012,18+
2555,Saptami,Bengali,None,2 h 21 min,2017,13+
2556,Biwi Aur Makan,Hindi,7.1,2 h 6 min,None,NR
2557,Enga Oor Singam,Tamil,None,2 h 5 min,1996,NR
2558,Drive,English,7.8,1 h 39 min,2011,18+
2559,16-Dec,Hindi,6.9,2 h 28 min,2002,13+
2560,Ek Cup Chya,Marathi,7.3,1 h 59 mins,2009,All
2561,Olympus Has Fallen,Telugu,6.5,1 h 54 min,2013,18+
2562,Zakh Marli Baiko Keli,Marathi,4.5,2 h 29 mins,2008,All
2563,Oraalppokkam,English,7.2,1 h 52 min,2014,NR
2564,Raasta,Bengali,6.3,2 h 46 min,2003,All
2565,Sarvam Sakthi Mayam,Tamil,None,2 h 22 min,1986,NR
2566,The Raid 2,Tamil,8,2 h 24 min,2014,18+
2567,Kobbari Bondam,Telugu,6.5,2 h 21 min,1991,All
2568,Natun Jiban,Bengali,None,2 h 13 min,None,NR
2569,Uyarum Njan Nadake,Malayalam,7.3,2 h 9 min,1985,NR
2570,Kal Ho Naa Ho,Hindi,8,3 h 7 min,2003,All
2571,Kuch Kuch Locha Hai,Hindi,2.5,2 h 24 min,2015,NR
2572,Gippi,Hindi,5.6,1 h 33 min,2013,13+
2573,Mangal Deep,Bengali,8.1,2 h 26 min,1989,NR
2574,3 Doba 3 Mistakes Of God,Gujarati,None,2 h 37 min,2016,13+
2575,Vivah,Hindi,6.6,2 h 46 min,2006,All
2576,Daivathinte Makan,Malayalam,4.1,2 h 21 min,2000,NR
2577,Mounam : Love is not a Game!,Kannada,7.2,2 h 25 min,2020,13+
2578,The Meg,Tamil,5.6,1 h 53 min,2018,13+
2579,STONEHENGE - The Temple of Druids,English,None,12min,2020,13+
2580,The End,Hindi,7.4,10min,2015,All
2581,American Pie Presents: The Book of Love,English,4.8,1 h 37 min,2009,18+
2582,Indra,Kannada,7.4,2 h 27 min,2008,13+
2583,Dilwale Dulhania Le Jayenge,Hindi,8.1,3 h 9 min,1995,All
2584,Diljale,Hindi,5.8,2 h 38 min,1996,18+
2585,Aapadbandhavudu,Telugu,None,2 h 43 min,1992,All
2586,Premer Phande Kakatua,Bengali,None,1 h 52 min,2009,NR
2587,Khel Mandala,Marathi,8.1,2 h 8 mins,2011,All
2588,Layla Fourie,English,5.5,1 h 46 min,2013,NR
2589,Ibbani Karagithu,Kannada,None,2 h 23 min,1983,NR
2590,Tapasya,Hindi,7.1,2 h 13 min,1976,All
2591,Final Destination 3,English,5.8,1 h 32 min,2006,18+
2592,Vettam,Malayalam,6.7,2 h 43 min,2004,All
2593,The Chronicles of Riddick,English,6.7,1 h 59 min,2004,16+
2594,Holly Slept Over,Telugu,5.5,1 h 27 min,2020,16+
2595,Intruders,English,5.7,1 h 30 min,2016,18+
2596,Chha E Chuti,Bengali,None,2 h 23 min,2017,13+
2597,100 days,Hindi,6.5,2 h 18 min,2007,All
2598,Humko Tumse Pyaar Hai,Hindi,4.8,2 h 6 min,2006,All
2599,1921,Hindi,4.4,2 h 21 min,2018,18+
2600,A Christmas Carol,English,6,1 h 9 min,1997,7+
2601,Disco Dancer,Hindi,6.5,2 h 14 min,1982,All
2602,Land of the Lost,English,5.3,1 h 41 min,2009,13+
2603,Chaar Sahibzaade  - Rise of Banda Singh Bahadur,Hindi,8.6,2 h 8 min,2016,NR
2604,Potugadu,Telugu,5.7,1 h 54 min,2013,18+
2605,Mister John,English,5.5,1 h 35 min,2013,18+
2606,Tortilla Soup,English,6.7,1 h 43 min,2002,13+
2607,When the Smoke Clears,English,5.3,18min,2020,18+
2608,Amal,Hindi,7.5,1 h 43 min,2008,All
2609,White,Malayalam,6,2 h 27 min,2017,NR
2610,Babu Baga Busy,Telugu,5.2,2 h 1 min,2017,18+
2611,Jodi Hakki,Kannada,None,2 h 22 min,1997,NR
2612,NAVARATHNA,Kannada,4.5,2 h 16 min,2020,13+
2613,IT Chapter Two,Tamil,6.5,2 h 49 min,2019,18+
2614,Jack the Giant Slayer,English,6.2,1 h 54 min,2013,13+
2615,Rajnigandha,Hindi,7.3,1 h 43 min,1975,All
2616,Raja Rani Raji,Bengali,None,2 h 20 min,2018,13+
2617,The Angry Birds Movie,English,6.3,1 h 37 min,2016,7+
2618,Ravimama,Kannada,None,2 h 12 min,1999,NR
2619,Takatak,Marathi,6,2 h 23 mins,2019,18+
2620,Bhayam,Telugu,None,1 h 23 min,2007,NR
2621,Go Goa Gone,Hindi,6.6,1 h 42 min,2013,NR
2622,The Idiot,Hindi,7.3,4min,2017,All
2623,Bye Bye Bangkok,Bengali,6.3,2 h 22 min,2017,13+
2624,Raja Nanna Raja,Kannada,8.4,2 h 13 min,1976,NR
2625,Samaantar,Marathi,7.6,1 h 38 mins,2009,All
2626,Mayer Adar,Bengali,6,1 h 45 min,2010,NR
2627,Ormakalundayirikkanam,Malayalam,7,1 h 26 min,1995,NR
2628,Game: He Plays to Win,Bengali,6.4,2 h 40 min,2014,13+
2629,The Kitchen,English,5.5,1 h 42 min,2019,18+
2630,Zindagi 50-50,Hindi,2.7,2 h 7 min,2013,NR
2631,Leeches,Hindi,7.2,27min,2016,18+
2632,The Frontier - Ukraine,English,None,57min,2019,13+
2633,Ennamma Kannu,Tamil,3.5,2 h 25 min,2000,13+
2634,Drive Angry,English,5.4,1 h 40 min,2011,18+
2635,Valerian and the City of a Thousand Planets,Telugu,6.5,2 h 16 min,2017,16+
2636,Gujarati Wedding In Goa,Gujarati,4.6,2 h 10 min,2018,13+
2637,Ghuma,Marathi,6.2,1 h 34 mins,2017,All
2638,Addams Family Values,English,6.8,1 h 34 min,1993,7+
2639,Rampage,Hindi,6.1,1 h 47 min,2018,13+
2640,The Lost World: Jurassic Park,Hindi,6.6,2 h 8 min,1997,16+
2641,The University,English,None,49min,2019,13+
2642,Mitron,Hindi,6.9,1 h 56 min,2018,13+
2643,Ayyo Pandu,Kannada,None,2 h 16 min,2004,NR
2644,Texas Chainsaw Massacre,Telugu,4.8,1 h 28 min,2013,18+
2645,John Rambo,Telugu,7,1 h 26 min,2008,18+
2646,Tara,Bengali,2.9,2 h 11 min,2017,13+
2647,Garv: Pride & Honour,Hindi,5.5,2 h 55 min,2004,18+
2648,Room No. 103,Bengali,5.6,1 h 55 min,2018,13+
2649,Open Water 2: Adrift,English,5.2,1 h 34 min,2006,18+
2650,Torchlight,Tamil,4.9,1 h 57 min,2018,18+
2651,Chak De India,Hindi,8.2,2 h 28 min,2007,All
2652,October,Hindi,7.5,1 h 55 min,2018,All
2653,Under 30,English,None,1h,2020,13+
2654,Bom,Hindi,None,1 h 56 min,2011,NR
2655,Payyans,Malayalam,3.9,2 h 11 min,2011,All
2656,Last Shop Standing,English,7.1,49min,2019,13+
2657,Biyallish,Bengali,None,2 h 25 min,2017,13+
2658,Paddayi,English,7.2,1 h 39 min,2018,NR
2659,John Rambo,Hindi,7,1 h 26 min,2008,18+
2660,Shola Aur Shabnam,Hindi,6.5,2 h 45 min,1992,All
2661,Bhairava Dweepam,Telugu,7.8,2 h 35 min,1994,All
2662,Mithye,Bengali,None,13min,2018,13+
2663,Shame To Shame,Marathi,5.7,2 h 24 mins,1991,All
2664,Vellai,Tamil,None,2 h 11 min,2015,NR
2665,Bayalu Daari,Kannada,7.7,2 h 19 min,1976,NR
2666,Guha Manab - The Caveman,Bengali,None,2 h 2 min,2017,NR
2667,Love and Sex in North Africa,English,None,1 h 2 min,2020,13+
2668,Unni Ikki,Punjabi,7,2 h 2 mins,2019,13+
2669,Proloy,Bengali,7.2,2 h 3 min,2017,13+
2670,Ramchandra Purshottam Joshi,Marathi,7.6,1 h 47 mins,2013,All
2671,Gangster,Bengali,None,2 h 19 min,2017,13+
2672,Disco Singh,Punjabi,5.8,2 h 21 mins,2014,All
2673,Ashirbad,Bengali,None,2 h 14 min,1986,NR
2674,Abodh,Hindi,5.8,2 h 12 min,1984,All
2675,72 Hours: Martyr Who Never Died,Hindi,5.1,2 h 10 min,2019,13+
2676,Caesarea,English,8.6,26min,2020,13+
2677,Arangetram,Tamil,7.8,2 h 32 min,1973,NR
2678,Kissi Se Na Kehna,Hindi,7.4,2 h 14 min,1983,All
2679,Daari Tappida Maga,Kannada,7.9,2 h 17 min,1975,NR
2680,V (Tamil),Tamil,6.6,2 h 20 min,2020,16+
2681,After Earth,Telugu,4.8,1 h 39 min,2013,13+
2682,Mumbai Pune Mumbai 2,Marathi,6.8,2 h 29 mins,2015,All
2683,Mee Tulas Tujhya Angani,Marathi,None,2 h 16 mins,2005,All
2684,Action Replayy,Hindi,4.2,2 h 5 min,2010,All
2685,67-1L N.S. Krishnan,Tamil,None,1 h 11 min,1967,NR
2686,Mastana,Hindi,6.9,2 h 31 min,1970,NR
2687,Jaane Bhi Do Yaaro,Hindi,8.4,2 h 11 min,1983,All
2688,Ego,Telugu,5.1,2 h 23 min,2018,13+
2689,Singham,Hindi,6.8,2 h 15 min,2011,13+
2690,Saw 7: The Final Chapter,English,5.6,1 h 30 min,2010,13+
2691,Patli Re Patli,Marathi,None,2 h 16 mins,1990,NR
2692,Abhinetri,Bengali,6,2 h 34 min,2019,13+
2693,Rupkatha Noy,Bengali,6.9,1 h 50 min,2018,13+
2694,Thalayana Manthram,Malayalam,7.7,2 h 14 min,1990,All
2695,Nalanum Nandhiniyum,Tamil,4.9,2 h 11 min,2014,All
2696,Mrs. Scooter,Hindi,6.6,1 h 35 min,2015,13+
2697,Planet Hulk,English,6.8,1 h 21 min,2010,13+
2698,Batwara,Hindi,6.3,2 h 54 min,1989,All
2699,Pathinaram Prayathil,Malayalam,None,1 h 39 min,1983,NR
2700,Spy Kids 4: All the Time in the World,English,3.5,1 h 28 min,2011,7+
2701,Bhoomiyile Rajakkanmar,Malayalam,6.9,2 h 6 min,1987,NR
2702,Annanagar Mudhal Theru,Tamil,5.8,2 h 14 min,1988,NR
2703,Drohi - Telugu,Telugu,None,2 h 13 min,1995,NR
2704,Second Marriage Dot Com,Hindi,7.5,2 h 10 min,2012,NR
2705,Pagalpanti,Hindi,3.1,2 h 28 min,2019,13+
2706,Sampoorn Devi Darshan,Hindi,None,2 h 15 min,1971,NR
2707,Man On Fire,English,None,1 h 32 min,1987,13+
2708,Sathi Hara,Bengali,6.8,1 h 50 min,None,NR
2709,Khaidhi No 786,Telugu,6.6,2h,1988,NR
2710,Underworld Awakening,Telugu,6.4,1 h 28 min,2012,18+
2711,Five Star,Tamil,5.9,2 h 14 min,2002,All
2712,Jiban Mrityu,Bengali,None,1 h 50 min,None,NR
2713,Mindo Taseeldarni,Punjabi,6.2,2 h 1 mins,2019,13+
2714,What's Up Lagna,Marathi,6.2,2 h 28 mins,2018,13+
2715,Kalyana Kacheri,Tamil,4.8,2 h 11 min,1987,NR
2716,Dakini,Malayalam,5.2,1 h 59 min,2018,All
2717,3 Deewarein,Hindi,7.8,1 h 45 min,2003,All
2718,Cold Skin,English,6,1 h 42 min,2018,16+
2719,Janam Kundli,Hindi,4.3,2 h 37 min,1995,NR
2720,Gandhi Puttina Desham,Telugu,None,2 h 55 min,1973,NR
2721,Widows,English,6.9,2 h 9 min,2018,18+
2722,Streer Maryada,Bengali,5.8,2 h 33 min,2002,All
2723,Veerappan,Hindi,5.3,1 h 57 min,2016,18+
2724,Saving The Mustang,English,None,52min,2020,13+
2725,Texas Chainsaw Massacre,Marathi,4.8,1 h 28 mins,2013,18+
2726,Agar Tum Na Hote,Hindi,6.5,2 h 34 min,1983,All
2727,Sanam Teri Kasam,Hindi,4.9,2 h 4 min,2009,13+
2728,Kabhi Kabhie,Hindi,7.4,2 h 52 min,1976,13+
2729,Kabita,Bengali,6.1,2 h 26 min,1977,NR
2730,Universal Soldier: Regeneration,Hindi,5.2,1 h 36 min,2010,18+
2731,Dirty 30,English,5.5,1 h 27 min,2016,13+
2732,See No Evil,English,None,1 h 9 min,2020,13+
2733,Sri Ramanjaneya Yuddham,Telugu,8.1,2 h 42 min,1974,NR
2734,Band Baaja Baaraat,Hindi,7.2,2 h 19 min,2010,7+
2735,Kasethan Kadavulada,Tamil,7.1,2 h 22 min,1972,All
2736,Ratha Thilagam,Tamil,7,2 h 17 min,1963,NR
2737,Kunukkitta Kozhi,Malayalam,6.1,2 h 10 min,1992,NR
2738,Bonobhumi,Bengali,None,2 h 7 min,2007,NR
2739,Jumbulingam,Malayalam,5.5,2 h 20 min,1982,NR
2740,Pravarakyudu,Telugu,5.6,2 h 34 min,2009,13+
2741,Anvatt,Marathi,6.1,1 h 50 mins,2014,13+
2742,The Car,Malayalam,5.7,2 h 13 min,1997,All
2743,The Report,English,7.2,1 h 59 min,2019,16+
2744,Kaatru Veliyidai,Tamil,5.9,2 h 18 min,2017,All
2745,Oru Oothapoo Kann Simitigarathu,Tamil,None,1 h 56 min,1976,NR
2746,Aakhri Sajda,Hindi,None,1 h 50 min,1977,NR
2747,Baaz,Punjabi,7.2,2 h 21 mins,2014,13+
2748,Jaal Saaz,Hindi,6.9,2 h 16 min,None,NR
2749,Asla Navra Nako Ga Bai,Marathi,7.5,2 h 15 mins,1976,All
2750,MO,Tamil,6.5,2 h 8 min,2016,NR
2751,Megh,Bengali,None,1 h 47 min,None,NR
2752,Rajakumaaran,Tamil,5.2,2 h 24 min,1994,NR
2753,Olavu Geluvu,Kannada,8.4,2 h 20 min,1977,NR
2754,The Line King: The Al Hirschfeld Story,English,7,1 h 26 min,1996,NR
2755,Madhurima,Telugu,None,56min,2003,NR
2756,Raja The Great,Telugu,6.5,2 h 30 min,2017,16+
2757,Gulmohar,Marathi,5.8,1 h 49 mins,2009,All
2758,Kaho Na Kaho,Hindi,None,1 h 53 min,2009,NR
2759,Dhwaja,Kannada,6.5,2 h 29 min,2018,13+
2760,Troyee,Bengali,6.4,1 h 45 min,2017,13+
2761,Impact Earth,English,3.8,1 h 34 min,2015,13+
2762,Hrudaya Geethe,Kannada,None,2 h 24 min,1989,NR
2763,Shankar Mudi,Bengali,7.4,1 h 50 min,2019,13+
2764,Joker (Tamil),Tamil,8.4,2 h 9 min,2016,All
2765,Bank Chor,Hindi,5.9,2h,2017,13+
2766,Beauty and the Beast,Tamil,6.4,1 h 53 min,2016,7+
2767,Earth Angel (4K Restored),English,None,1 h 34 min,1991,16+
2768,Dhoti Lota Aur Choupati,Hindi,None,2 h 19 min,1975,NR
2769,Bhalobasar Anek Naam,Bengali,6.6,2 h 15 min,2017,13+
2770,Dhamaal,Hindi,7.3,2 h 10 min,2007,All
2771,Kuheli,Bengali,7.4,2 h 8 min,2017,13+
2772,Sallu Ki Shaadi,Hindi,3.5,1 h 48 min,2017,NR
2773,Oka Chinna Maata,Telugu,6.5,2 h 23 min,1997,All
2774,Baboo Band Baaja,Marathi,8,2 h,2012,All
2775,Engal Kural,Tamil,None,2 h 16 min,1985,NR
2776,Hero no 1,Bengali,None,2 h 27 min,2017,13+
2777,Braja Buli,Bengali,None,1 h 50 min,1979,NR
2778,The Conjuring 2,Tamil,7.3,2 h 13 min,2016,18+
2779,Kulfi,Kannada,None,2 h 1 min,2018,NR
2780,Deivathin Deivam,Tamil,None,2 h 26 min,1962,NR
2781,Gladiator,Hindi,8.5,2 h 34 min,2000,18+
2782,Periya Marudhu,Tamil,4.3,2 h 24 min,1994,13+
2783,Aarti,Hindi,6.7,2 h 43 min,None,All
2784,Bara Dari,Hindi,None,2 h 9 min,None,NR
2785,All the Best: Fun Begins,Hindi,6.1,2 h 15 min,2009,13+
2786,Halo Manvyu Na Mele,Gujarati,None,2 h 29 min,2007,All
2787,Sohni Mahiwal,Hindi,6.1,1 h 44 min,None,NR
2788,Chandramukhi Malli Vachimdi,Telugu,None,2 h 10 min,2002,NR
2789,Bandhan,Hindi,6.9,2 h 33 min,1998,13+
2790,Nartakee,Hindi,7,2 h 5 min,None,NR
2791,Mismatch,Telugu,4.2,2 h 15 min,2019,All
2792,A Beautiful Day in the Neighborhood,English,7.3,1 h 48 min,2019,All
2793,Silence (Malayalam),Malayalam,3.8,2 h 5 min,2020,16+
2794,Monster's Ball,English,7,1 h 51 min,2001,18+
2795,Don't Panic: The Truth About Population,English,7.5,59min,2013,18+
2796,Baban,Marathi,7.7,2 h 21 mins,2018,NR
2797,Mujhe Kucch Kehna Hai,Hindi,5,2 h 15 min,2001,NR
